code,name,price,pe_ttm,pb,mcap_yi,change_pct,turnover,score,pct_ma20,pct_ma60,vol_ratio,chg_20d,dd_10d,reasons,tags,sector,hot_count
002830,名雕股份,16.37,70.3,4.6,15,-1.6,11.7,84,3.2,3.8,1.6,5.2,-10.0,多头排列|均线发散向上|距MA60仅4%(极早期)|温和放量(1.6x)|20日涨5%(稳健)|PE=70x(合理),家装龙头|成立AI公司|高送转,,2
601636,旗滨集团,8.93,163.0,1.8,264,7.0,12.6,83,22.8,36.4,1.4,30.6,-2.8,多头排列|均线发散向上|距MA60=36%(早期)|近期突破新高|温和放量(1.4x)|20日涨31%(加速)|回撤控制好,,玻璃玻纤,0
002354,天娱数科,8.83,-612.5,10.6,144,10.0,30.4,82,16.3,33.5,1.2,23.8,-1.0,多头排列|均线发散向上|距MA60=33%(早期)|近期突破新高|20日涨24%(稳健)|回撤控制好,具身智能数据集|3D视觉|算力租赁|AI营销,,5
001389,广合科技,220.88,89.4,14.5,336,10.0,12.9,82,17.2,30.8,1.2,19.2,0.0,多头排列|均线发散向上|距MA60=31%(早期)|近期突破新高|20日涨19%(稳健)|回撤控制好,算力PCB|拟60亿投建总部|可转债预案,,4
603163,圣晖集成,135.58,82.5,12.0,136,10.0,3.7,82,23.8,25.9,1.1,21.3,0.0,多头排列|均线发散向上|距MA60=26%(早期)|近期突破新高|20日涨21%(稳健)|回撤控制好,可转债申请通过|半导体洁净室|东南亚PCB,,4
002415,海康威视,33.32,20.4,3.9,3014,-3.2,0.9,81,5.9,4.0,1.4,8.3,-6.2,站上MA20|均线发散向上|距MA60仅4%(极早期)|温和放量(1.4x)|20日涨8%(稳健)|PE=20x(低估),,计算机设备,0
000012,南  玻Ａ,4.80,1309.1,1.1,94,0.6,7.8,79,10.1,11.7,1.4,9.6,-6.1,多头排列|均线发散向上|距MA60仅12%(极早期)|温和放量(1.4x)|20日涨10%(稳健),,玻璃玻纤,0
605069,正和生态,14.51,-14.5,4.5,31,-1.3,6.5,79,22.6,10.0,1.3,10.1,-5.5,站上MA20|均线发散向上|距MA60仅10%(极早期)|温和放量(1.3x)|20日涨10%(稳健)|回撤控制好,智谱AI|水务机器狗|生态水利,,3
000050,深天马Ａ,9.88,-352.7,0.9,241,-4.8,5.5,79,14.5,20.3,1.7,20.8,-10.1,多头排列|均线发散向上|距MA60仅20%(极早期)|温和放量(1.7x)|20日涨21%(稳健),,光学光电子,0
002536,飞龙股份,48.12,109.7,8.3,262,-7.3,10.7,79,12.6,21.2,1.4,12.9,-9.7,多头排列|均线发散向上|距MA60仅21%(极早期)|温和放量(1.4x)|20日涨13%(稳健),,汽车零部件,0
000571,新大洲A,6.25,-34.3,347.8,51,-6.7,6.3,79,9.8,10.4,1.9,15.3,-7.7,多头排列|均线发散向上|距MA60仅10%(极早期)|温和放量(1.9x)|20日涨15%(稳健),聚焦煤炭主业|拟退出牛肉产业|C919供应商|海南自贸区,,2
002584,西陇科学,9.62,-78.0,2.6,45,-6.3,30.4,79,14.3,18.6,1.8,18.5,-18.1,多头排列|均线发散向上|距MA60仅19%(极早期)|温和放量(1.8x)|20日涨18%(稳健),,电子化学品,0
002520,日发精机,6.87,-40.7,17.4,49,-6.8,10.5,79,4.7,11.8,1.3,11.9,-9.5,多头排列|均线发散向上|距MA60仅12%(极早期)|温和放量(1.3x)|20日涨12%(稳健),,通用设备,0
600497,驰宏锌锗,12.54,52.5,3.8,632,1.9,8.8,78,25.8,33.7,1.7,25.7,-5.1,多头排列|均线发散向上|距MA60=34%(早期)|温和放量(1.7x)|20日涨26%(加速)|回撤控制好|PE=53x(合理),锗价上涨|锗龙头|铟|央企|钼资源,,2
603194,中力股份,36.89,17.4,2.8,58,10.0,2.9,78,2.1,5.7,1.1,8.0,-4.5,多头排列|距MA60仅6%(极早期)|20日涨8%(稳健)|回撤控制好|PE=17x(低估),机器人|数智物流项目|股东减持落地,,4
603067,振华股份,42.74,48.7,8.4,323,-7.8,6.0,76,16.8,13.9,1.3,9.7,-7.8,站上MA20|均线发散向上|距MA60仅14%(极早期)|温和放量(1.3x)|20日涨10%(稳健)|PE=49x(合理),铬盐龙头|SOFC|BE合作|金属铬|可转债获批,,2
603335,迪生力,9.04,75.5,13.7,39,-0.7,21.6,76,14.0,26.6,1.7,22.5,-7.3,多头排列|均线发散向上|距MA60=27%(早期)|温和放量(1.7x)|20日涨22%(稳健)|PE=75x(合理),存储芯片|收购半导体|汽车轮毂|股份转让,,2
601133,柏诚股份,38.28,104.9,6.7,201,10.0,7.1,76,27.5,42.6,1.1,34.4,0.0,多头排列|均线发散向上|距MA60=43%(早期)|近期突破新高|20日涨34%(加速)|回撤控制好,半导体洁净室|OLED洁净室|订单新高|存储芯片|洁净室|长鑫产业链,,5
000056,*ST皇庭,2.07,-0.9,-1.0,19,5.1,3.1,76,17.2,18.2,0.8,35.3,0.0,多头排列|均线发散向上|距MA60仅18%(极早期)|近期突破新高|20日涨35%(加速)|回撤控制好,功率半导体|债务化解预期|亏损收窄|债务化解|退市博弈,,7
603903,中持股份,12.84,-35.8,2.3,33,10.0,6.2,76,9.1,6.2,1.1,10.8,0.0,站上MA20|距MA60仅6%(极早期)|近期突破新高|20日涨11%(稳健)|回撤控制好,芯长征入主|功率半导体|污水处理|一季报扭亏,,4
000070,特发信息,22.29,-39.5,24.0,191,-10.0,10.7,72,11.4,13.5,1.1,24.9,-14.4,多头排列|均线发散向上|距MA60仅13%(极早期)|20日涨25%(稳健),MPO光连接器|CPO|光纤光缆|深圳国资,通信设备,2
603399,永杉锂业,20.47,-61.2,6.5,105,-10.0,18.2,72,6.3,19.4,1.0,19.4,-15.4,多头排列|均线发散向上|距MA60仅19%(极早期)|20日涨19%(稳健),锂盐|四川锂盐项目|钼,,2
600058,五矿发展,11.88,-410.6,2.6,127,0.9,4.3,71,14.6,10.0,1.4,15.3,-6.1,站上MA20|均线发散向上|距MA60仅10%(极早期)|温和放量(1.4x)|20日涨15%(稳健),铁合金|铁矿资产注入|央企|小金属,,2
002910,庄园牧场,12.27,-30.0,2.4,21,10.0,19.9,71,16.2,14.3,2.0,22.0,-8.5,站上MA20|均线发散向上|距MA60仅14%(极早期)|温和放量(2.0x)|20日涨22%(稳健),乳业龙头|甘肃国资|乳业|宠物经济|国企改革,,5
603155,新亚强,25.34,94.1,3.6,80,10.0,6.6,70,17.3,34.3,1.2,31.6,0.0,多头排列|距MA60=34%(早期)|近期突破新高|20日涨32%(加速)|回撤控制好,半导体材料|高纯四氯化硅|光纤概念|锂电池,,4
600228,返利科技,10.79,-71.0,11.8,45,10.0,0.1,70,52.7,69.3,1.5,64.2,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|温和放量(1.5x)|回撤控制好,控制权变更|复牌|摘帽|在线导购,,5
002141,贤丰控股,5.76,520.5,7.4,60,9.9,24.4,70,47.9,53.4,2.3,68.4,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|温和放量(2.3x)|回撤控制好,PCB上游|覆铜板|盐湖提锂参股|扭亏为盈,,6
603261,立航科技,57.20,-20.6,8.9,44,10.0,2.3,70,45.5,55.0,2.4,55.1,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|温和放量(2.4x)|回撤控制好,航空装备|低空经济|摘帽,,4
603650,彤程新材,85.83,90.4,13.2,527,10.0,5.8,70,37.5,50.2,1.3,51.3,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|温和放量(1.3x)|回撤控制好,光刻胶树脂|H股上市,,5
002119,康强电子,37.02,119.8,10.0,139,10.0,23.1,69,26.4,50.6,1.1,44.9,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|20日涨45%(加速)|回撤控制好,半导体封装材料|引线框架|产能满产|回购,,4
002463,沪电股份,147.28,65.9,17.9,2832,-5.0,4.3,69,7.2,30.8,0.9,10.7,-5.8,多头排列|均线发散向上|距MA60=31%(早期)|20日涨11%(稳健)|回撤控制好|PE=66x(合理),,元件,0
000823,超声电子,28.46,79.2,3.6,169,10.0,17.9,68,42.9,68.4,1.1,67.4,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|回撤控制好|PE=79x(合理),转债摘牌|PCB|覆铜板|算力硬件|汕头国资,元件,6
603722,阿科力,39.60,-89.2,4.4,38,10.0,6.0,66,6.7,6.5,1.1,5.7,-5.7,站上MA20|距MA60仅6%(极早期)|20日涨6%(稳健)|回撤控制好,COC放量|半导体材料|特种高耐热树脂|航空航天,,4
000962,东方钽业,87.03,179.2,11.6,438,3.6,8.5,66,38.6,61.3,1.4,31.5,-3.5,多头排列|均线发散向上|中期阶段|温和放量(1.4x)|20日涨32%(加速)|回撤控制好,钽铌制品|电容器级钽粉|半导体靶材|央企|分红登记,,2
600345,长江通信,65.36,85.9,5.7,138,-10.0,10.2,66,9.1,20.7,1.1,32.1,-14.6,多头排列|均线发散向上|距MA60仅21%(极早期)|20日涨32%(加速),,通信设备,0
603687,大胜达,18.81,149.1,3.2,103,10.0,8.7,66,3.4,8.8,0.9,18.2,-5.7,多头排列|距MA60仅9%(极早期)|20日涨18%(稳健)|回撤控制好,GPU投资进展|钙钛矿设备|纸包装,,4
600703,三安光电,21.73,-217.8,3.1,1084,0.3,10.9,65,25.9,41.9,1.3,29.0,-6.3,多头排列|均线发散向上|距MA60=42%(早期)|温和放量(1.3x)|20日涨29%(加速),CPO|光芯片|碳化硅|化合物半导体,,2
605580,恒盛能源,28.36,49.0,8.0,79,-6.0,6.0,65,5.7,20.3,1.1,1.7,-11.1,多头排列|均线发散向上|距MA60仅20%(极早期)|PE=49x(合理),培育钻石|CVD金刚石|热电联产|业绩增长|收购华大热电,,2
002842,翔鹭钨业,52.16,44.2,12.1,140,1.5,27.1,65,28.7,44.3,1.1,59.9,-4.2,多头排列|均线发散向上|距MA60=44%(早期)|回撤控制好|PE=44x(合理),钨全产业链|定增过会|光伏钨丝|定增通过|业绩增长,,2
600141,兴发集团,48.80,40.8,2.4,586,2.8,11.7,65,38.9,47.1,1.6,51.9,-5.1,多头排列|均线发散向上|中期阶段|温和放量(1.6x)|回撤控制好|PE=41x(合理),磷化工|磷化铟|存储芯片材料|液冷|固态电池|员工持股,,3
000725,京东方Ａ,7.79,48.5,2.1,2755,3.6,12.8,64,24.7,58.6,1.0,38.5,-5.5,多头排列|均线发散向上|中期阶段|20日涨39%(加速)|回撤控制好|PE=48x(合理),,光学光电子,0
600851,海欣股份,8.80,61.8,2.3,65,-10.0,5.6,64,10.1,8.0,2.8,10.7,-17.7,站上MA20|均线发散向上|距MA60仅8%(极早期)|量能过大|20日涨11%(稳健)|PE=62x(合理),参股长江证券|创新药|医药制造|APDC三期,,2
002713,*ST东易,12.68,314.9,13.9,67,5.0,3.2,64,13.2,0.4,1.2,1.1,0.0,站上MA20|距MA60仅0%(极早期)|近期突破新高|回撤控制好,算力产业|摘帽预期|增资|家装,,4
603083,剑桥科技,245.92,258.5,12.1,678,-5.6,8.7,64,19.1,41.2,1.0,21.1,-6.6,多头排列|均线发散向上|距MA60=41%(早期)|20日涨21%(稳健),CPO/NPO|1.6T光模块|高速光模块|供应链绑定,,2
603977,国泰集团,15.43,38.5,2.8,96,10.0,8.6,64,9.9,7.0,1.1,1.4,0.0,站上MA20|距MA60仅7%(极早期)|回撤控制好|PE=38x(低估),钽铌涨价|小型固体火箭|江西国资,,4
600552,凯盛科技,29.60,210.6,6.5,280,10.0,16.2,63,33.0,66.4,1.2,55.2,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|回撤控制好,玻璃基板TGV|有色锆|超薄柔性玻璃UTG|显示材料|央企国资,,5
002965,祥鑫科技,51.88,264.7,3.3,99,10.0,12.1,63,31.2,50.5,1.2,51.3,0.0,多头排列|均线发散向上|中期阶段|近期突破新高|回撤控制好,收购酷尔芯|液冷服务器|人形机器人,,5
000048,京基智农,21.73,-60.5,3.1,115,-2.6,6.0,60,23.9,34.8,1.2,71.6,-5.3,多头排列|均线发散向上|距MA60=35%(早期)|回撤控制好,机器人|股权转让|生猪养殖,,2
600397,江钨装备,26.04,-149.5,133.5,258,1.4,10.2,60,50.0,69.7,1.6,89.8,-4.1,多头排列|均线发散向上|中期阶段|温和放量(1.6x)|回撤控制好,钨钽铌资产注入|磁选装备|江西国资|钨钽铌并购注入,,2
002080,中材科技,97.67,83.5,8.3,1639,5.1,5.3,59,35.2,59.8,1.1,28.4,-4.5,多头排列|均线发散向上|中期阶段|20日涨28%(加速)|回撤控制好,,玻璃玻纤,0
603061,金海通,415.05,154.7,21.4,361,3.8,3.6,59,25.9,47.2,1.2,38.3,-4.6,多头排列|均线发散向上|中期阶段|20日涨38%(加速)|回撤控制好,,半导体,0
600379,宝光股份,14.52,114.8,6.2,48,-4.3,10.7,59,12.1,6.5,1.8,3.3,-7.7,站上MA20|均线发散向上|距MA60仅7%(极早期)|温和放量(1.8x),氦气|电子特气|真空灭弧室|央企|氢能,,2
002741,光华科技,39.11,151.8,9.4,167,6.1,17.9,58,20.9,56.0,1.3,25.5,-7.2,多头排列|均线发散向上|中期阶段|温和放量(1.3x)|20日涨26%(加速),,电子化学品,0
603938,三孚股份,75.81,314.8,11.5,290,8.8,12.0,58,35.4,83.8,1.0,76.6,-1.1,多头排列|均线发散向上|近期突破新高|回撤控制好,高纯四氯化硅涨价|光纤材料|存储芯片|高纯四氯化硅|一季报增长,,3
603065,宿迁联盛,21.85,-599.8,4.8,92,8.5,14.7,57,68.9,127.3,1.4,188.6,-1.2,多头排列|均线发散向上|已远离MA60(高位)|近期突破新高|温和放量(1.4x)|回撤控制好,磷化铟衬底|终止减持|光稳定剂|磷化铟,,2
600584,长电科技,100.89,109.3,6.3,1805,-3.1,18.8,57,24.5,63.9,1.1,19.2,-7.7,多头排列|均线发散向上|中期阶段|20日涨19%(稳健),先进封装|CPO光引擎|央企,,3
603929,亚翔集成,260.85,52.6,25.6,557,2.3,6.6,57,29.3,36.3,0.9,62.9,-3.5,多头排列|均线发散向上|距MA60=36%(早期)|回撤控制好|PE=53x(合理),半导体洁净室|新加坡布局|一季报倍增,,2
600172,黄河旋风,16.65,-27.3,51.8,212,-8.9,21.6,57,17.8,50.6,1.2,14.0,-11.5,多头排列|均线发散向上|中期阶段|20日涨14%(稳健),培育钻石|金刚石散热|资产划转|金刚石散热片|许昌国资,,2
002962,五方光电,19.34,187.5,3.2,40,10.0,25.8,56,1.4,9.3,1.0,-1.9,0.0,多头排列|距MA60仅9%(极早期)|回撤控制好,TGV产品|光学光电子|AR/VR|玻璃晶圆|AR/VR光学元件,,5
603595,ST东尼,36.98,-168.9,5.7,86,5.0,1.4,56,35.6,71.9,0.8,48.1,0.0,多头排列|均线发散向上|近期突破新高|20日涨48%(加速)|回撤控制好,一季报增长|碳化硅|消费电子,,7
001282,三联锻造,19.75,41.0,2.7,30,-4.7,2.9,56,4.1,-1.7,1.6,6.0,-14.1,站上MA20|均线发散向上|温和放量(1.6x)|20日涨6%(稳健)|PE=41x(合理),,汽车,0
000811,冰轮环境,53.12,89.7,8.2,520,-0.8,6.7,55,45.3,83.7,1.9,51.3,-3.9,多头排列|均线发散向上|温和放量(1.9x)|回撤控制好,数据中心液冷|拟收购整合|权益分派|烟台国资,,2
002189,中光学,21.03,-25.0,13.2,55,-2.1,4.0,55,2.7,0.2,1.6,-6.7,-2.4,站上MA20|距MA60仅0%(极早期)|温和放量(1.6x)|回撤控制好,,国防军工,0
002538,ST司特,6.14,26.7,1.0,52,5.0,2.1,55,3.6,-4.5,1.2,2.3,0.0,站上MA20|近期突破新高|温和放量(1.2x)|回撤控制好|PE=27x(低估),磷矿采矿权|工行战略合作|ST摘牌预期|一季报增长,,5
603956,威派格,5.83,-22.9,1.8,33,10.0,1.4,54,15.7,4.8,1.2,4.3,0.0,站上MA20|距MA60仅5%(极早期)|回撤控制好,液冷泵|六张网建设|智慧水务,,5
600176,中国巨石,74.12,77.6,9.4,2967,4.7,5.7,53,54.4,94.0,1.1,70.5,-4.0,多头排列|均线发散向上|回撤控制好|PE=78x(合理),,玻璃玻纤,0
002167,东方锆业,21.56,308.3,9.4,164,-5.3,22.4,52,37.1,56.6,1.6,56.8,-6.5,多头排列|均线发散向上|中期阶段|温和放量(1.6x),锆材料|产品涨价|固态电池|定增扩产,,2
002068,黑猫股份,14.60,-20.5,4.6,107,-1.6,15.6,52,32.9,49.2,2.0,52.4,-6.6,多头排列|均线发散向上|中期阶段|温和放量(2.0x),超级电容|导电炭黑|炭黑龙头|景德镇国资|超导电炭黑|国企改革,,3
603800,洪田股份,88.46,774.6,23.3,184,4.1,7.3,51,16.7,49.7,0.8,44.6,-4.1,多头排列|均线发散向上|中期阶段|20日涨45%(加速)|回撤控制好,,专用设备,0
603407,长裕集团,91.73,147.8,18.1,33,-0.1,28.8,51,43.4,43.4,1.5,58.1,-7.9,站上MA20|均线发散向上|距MA60=43%(早期)|温和放量(1.5x),氧氯化锆|陶瓷载板|光通讯|业绩增长,,3
002202,金风科技,23.33,31.6,2.5,785,6.5,9.0,51,4.3,-5.0,1.3,-4.0,-2.4,站上MA20|温和放量(1.3x)|回撤控制好|PE=32x(低估),,风电设备,0
600470,六国化工,6.07,-6.6,2.1,32,-6.3,9.5,51,6.2,-3.9,1.9,9.8,-8.0,站上MA20|均线发散向上|温和放量(1.9x)|20日涨10%(稳健),磷化工|产品涨价|精制磷酸,,2
600105,永鼎股份,65.71,935.5,29.1,961,-9.9,10.4,50,15.2,37.7,0.9,35.4,-11.2,多头排列|均线发散向上|距MA60=38%(早期)|20日涨35%(加速),,通信设备,0
003033,征和工业,57.33,30.4,3.4,46,10.0,4.4,50,3.0,0.4,0.9,-7.0,0.0,站上MA20|距MA60仅0%(极早期)|回撤控制好|PE=30x(低估),人形机器人|灵巧手|链传动龙头|张雪机车合作,汽车,4
000636,风华高科,78.50,295.6,7.3,908,-1.4,12.3,50,19.9,99.5,0.8,61.4,-2.5,多头排列|均线发散向上|近期突破新高|回撤控制好,,元件,0
002674,兴业科技,28.83,81.1,3.5,84,10.0,2.6,50,62.7,91.8,0.3,88.4,0.0,多头排列|均线发散向上|近期突破新高|回撤控制好,磷化铟收购|机器人电子皮肤|汽车内饰皮革,,7
601869,长飞光纤,543.00,388.5,31.6,2206,-5.6,3.8,50,15.3,33.8,1.0,46.5,-9.5,多头排列|均线发散向上|距MA60=34%(早期)|20日涨47%(加速),空芯光纤|AI算力光纤|业绩高增,,2
603678,火炬电子,79.49,149.6,6.2,378,5.8,12.1,50,25.8,80.4,0.7,68.3,-1.9,多头排列|均线发散向上|近期突破新高|回撤控制好,MLCC涨价|存储代理|商业航天,,2
003004,声迅股份,69.68,-6276.6,9.0,48,3.5,4.1,49,4.6,50.2,0.9,21.6,-10.7,多头排列|均线发散向上|中期阶段|20日涨22%(稳健),,计算机设备,0
001270,铖昌科技,139.43,217.7,18.9,286,10.0,7.3,48,6.5,2.6,1.0,-13.9,0.0,站上MA20|距MA60仅3%(极早期)|回撤控制好,商业航天|相控阵T/R芯片|卫星通信|摘帽,,4
000609,*ST中迪,12.29,-8.5,-11.6,36,5.0,1.4,48,1.7,2.0,0.8,-6.5,0.0,多头排列|距MA60仅2%(极早期)|回撤控制好,债务和解|拟收购北京天微|半导体封测|ST摘帽预期,,5
002134,天津普林,29.06,454.3,14.1,72,-1.8,7.1,46,2.4,9.8,1.0,-4.6,-6.2,多头排列|距MA60仅10%(极早期),,元件,0
002484,江海股份,109.00,135.4,14.9,894,-1.8,7.1,46,17.4,86.1,0.9,47.2,-5.6,多头排列|均线发散向上|20日涨47%(加速)|回撤控制好,,元件,0
603989,艾华集团,56.00,84.5,5.7,223,4.2,9.4,46,49.4,108.5,1.0,45.8,-3.4,多头排列|均线发散向上|已远离MA60(高位)|20日涨46%(加速)|回撤控制好,MLPC|AI服务器|铝电解电容|薄膜电容,,3
002733,雄韬股份,35.44,170.5,5.1,131,2.1,11.7,46,5.3,16.6,1.0,3.1,-6.7,多头排列|距MA60仅17%(极早期),,电池,0
002935,天奥电子,21.09,135.3,5.6,88,-1.1,2.9,46,3.9,3.6,1.0,2.9,-5.8,站上MA20|距MA60仅4%(极早期)|回撤控制好,,国防军工,0
600498,烽火通信,76.22,247.1,5.9,969,-10.0,9.3,44,16.8,33.9,0.9,50.2,-13.0,多头排列|均线发散向上|距MA60=34%(早期),,通信设备,0
600487,亨通光电,110.81,84.6,8.4,2710,-9.9,8.1,44,8.3,42.8,0.9,57.2,-11.5,多头排列|均线发散向上|距MA60=43%(早期),,通信设备,0
600183,生益科技,178.50,110.4,27.1,4274,-4.7,3.0,43,12.6,68.4,0.9,32.4,-7.0,多头排列|均线发散向上|中期阶段|20日涨32%(加速),,元件,0
605377,华旺科技,8.65,18.9,1.2,48,-3.1,1.9,43,1.6,-4.6,1.9,-3.1,-8.9,站上MA20|温和放量(1.9x)|PE=19x(低估),装饰原纸|高分红|盈利修复,,2
001210,金房能源,23.83,38.1,3.6,32,10.0,5.0,42,-0.0,24.6,0.7,16.4,-9.3,距MA60仅25%(极早期)|20日涨16%(稳健)|PE=38x(低估),成功竞拍|数据中心供冷|综合能源服务|新能源供热,,4
605399,晨光新材,14.28,-40.9,2.2,44,10.0,3.5,40,6.6,-0.6,1.1,-9.8,0.0,站上MA20|均线发散向上|回撤控制好,功能性硅烷|气凝胶|产能释放|回购注销,,4
002201,九鼎新材,11.99,87.0,6.7,72,-2.4,7.5,39,4.1,-2.7,1.4,1.8,-12.2,站上MA20|均线发散向上|温和放量(1.4x),,玻璃玻纤,0
600545,卓郎智能,7.10,-23.1,4.8,127,10.1,3.5,38,6.2,26.3,1.0,-6.7,-6.6,多头排列|距MA60=26%(早期),电子布设备|华为合作|纺织机械,,4
605296,神农集团,27.23,-26.6,3.3,141,10.0,1.1,38,5.3,-3.0,1.2,2.4,0.0,站上MA20|近期突破新高|回撤控制好,猪肉|产能调控|全产业链|成本优势,,4
002580,圣阳股份,22.75,55.5,4.3,103,-10.0,20.0,38,0.3,-7.3,1.3,-2.8,-17.3,站上MA20|温和放量(1.3x)|PE=55x(合理),,电池,0
001289,龙源电力,17.57,34.6,1.9,886,10.0,0.1,38,-0.8,3.7,0.5,-2.6,-2.3,距MA60仅4%(极早期)|回撤控制好|PE=35x(低估),风电|分红|央企,,4
